Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2161,-1000.0,-1000.0,-1000.0
2162,-1000.0,-1000.0,-1000.0
2163,-1000.0,-1000.0,-1000.0
2164,-1000.0,-1000.0,-1000.0
2165,-1000.0,-1000.0,-1000.0
2166,-1000.0,-1000.0,-1000.0
2167,-1000.0,-1000.0,-1000.0
2168,-1000.0,-1000.0,-1000.0
2169,-1000.0,-1000.0,-1000.0
2170,-1000.0,-1000.0,-1000.0
2171,-931.7703196024647,-1000.0,-1000.0
2172,-893.419358760927,-1000.0,-1000.0
2173,-606.1646173155068,-1000.0,-1000.0
2174,-813.7224127456202,-1000.0,-1000.0
2175,-1000.0,-1000.0,-1000.0
2176,-1000.0,-1000.0,-1000.0
2177,-1000.0,-1000.0,-1000.0
2178,-1000.0,-1000.0,-1000.0
2179,-1000.0,-1000.0,-1000.0
2180,-1000.0,-1000.0,-1000.0
2181,-1000.0,-978.5987569260674,-1000.0
2182,-1000.0,-1000.0,-1000.0
2183,-1000.0,-1000.0,-1000.0
2184,-1000.0,-1000.0,-1000.0
2185,-1000.0,-1000.0,-1000.0
2186,-1000.0,-1000.0,-1000.0
2187,-1000.0,-1000.0,-1000.0
2188,-1000.0,-1000.0,-1000.0
2189,-1000.0,-1000.0,-1000.0
2190,-1000.0,-1000.0,-962.7993319945199
2191,-1000.0,-1000.0,-1000.0
2192,-1000.0,-1000.0,-1000.0
2193,-1000.0,-1000.0,-1000.0
2194,-1000.0,-1000.0,-1000.0
2195,-1000.0,-1000.0,-1000.0
2196,-1000.0,-1000.0,-1000.0
2197,-1000.0,-1000.0,-1000.0
2198,-1000.0,-1000.0,-1000.0
2199,-1000.0,-1000.0,-1000.0
2200,-1000.0,-1000.0,-1000.0
2201,-1000.0,-921.7043119612874,-1000.0
2202,-1000.0,-919.0289055404273,-1000.0
2203,-1000.0,-918.7573314021367,-1000.0
2204,-1000.0,-929.8736394372013,-1000.0
2205,-1000.0,-899.8791885734199,-1000.0
2206,-1000.0,-933.1435836770147,-1000.0
2207,-1000.0,-955.6559606827792,-1000.0
2208,-1000.0,-963.3627011352078,-1000.0
2209,-1000.0,-958.0183383953377,-1000.0
2210,-1000.0,-964.2833484279467,-1000.0
2211,-1000.0,-969.7927,-1000.0
2212,-1000.0,-1000.0,-1000.0
2213,-1000.0,-1000.0,-1000.0
2214,-1000.0,-1000.0,-617.0471706214161
2215,-1000.0,-969.1842555719902,21.429439443423234
2216,-1000.0,-901.7903238565384,228.60245682822824
2217,-1000.0,-887.3160397974202,-317.6282458866515
2218,-1000.0,-876.732233068477,-475.54052485333796
2219,-1000.0,-868.0310874614702,-458.138745430412
2220,-1000.0,-886.7757448590614,-528.879168270922
2221,-1000.0,-922.2563678611975,-608.6849382913506
2222,-1000.0,-941.5897327220165,-573.4747836207155
2223,-1000.0,-936.5190169087489,994.8677435429172
2224,-1000.0,-939.9559321714302,897.5870243617587
2225,-1000.0,-921.2514020604276,585.8438366466617
2226,-1000.0,-902.959557749077,422.90214732578283
2227,-1000.0,-927.4458019660328,820.2151938397906
2228,-1000.0,-892.202704180479,779.5659420493521
2229,-1000.0,-869.4169813251706,442.10512910774287
2230,-1000.0,-937.8426728047284,559.7171274313555
2231,-1000.0,-971.6914509955459,586.8725962341791
2232,-1000.0,-997.1012513289152,287.9117225000002
2233,-1000.0,-1000.0,227.6195538152724
2234,-1000.0,-1000.0,244.938726999992
